id, price, sq_m
1, 4490000, 88
2, 4250000, 143
3, 5550000, 65
4, 6800000, 122
5, 5400000, 160
6, 11500000, 179
7, 6750000, 126
8, 6390000, 82
9, 5650000, 97
10, 4500000, 84
11, 6200000, 89
12, 3350000, 147
13, 4360000, 59
14, 3390000, 67
15, 10800000, 176
16, 3200000, 125
17, 2690000, 117
18, 3200000, 109
19, 2150000, 37
20, 1950000, 52
21, 11750000, 197
22, 4400000, 82
23, 6950000, 160
24, 4990000, 77
25, 5000000, 90
26, 11900000, 248
27, 3490000, 97
28, 4850000, 212
29, 4090000, 106
30, 5350000, 114
31, 4090000, 93
32, 3790000, 104
33, 6000000, 269
34, 8500000, 147
35, 3100000, 42
36, 11000000, 162
37, 2200000, 29
38, 7400000, 154
39, 1900000, 66
40, 6800000, 162
41, 3100000, 76
42, 6950000, 148
43, 3900000, 132
44, 3200000, 118
45, 5790000, 198
46, 6590000, 141
47, 3890000, 70
48, None, 85
49, None, 143
50, None, 65
51, None, 122
52, None, 160
53, None, 179
54, None, 126
55, None, 82
56, None, 97
57, None, 84
58, None, 89
59, None, 147
60, None, 59
61, None, 67
62, None, 176
63, None, 125
64, None, 117
65, None, 109
66, None, 37
67, None, 52
68, None, 197
69, None, 82
70, None, 160
71, None, 77
72, None, 90
73, None, 248
74, None, 97
75, None, 212
76, None, 106
77, None, 114
78, None, 93
79, None, 104
80, None, 269
81, None, 147
82, None, 42
83, None, 162
84, None, 29
85, None, 154
86, None, 66
87, None, 162
88, None, 76
89, None, 148
90, None, 132
91, None, 118
92, None, 198
93, None, 141
94, None, 70
95, None, 72
96, None, 42
97, None, 157
98, None, 61
99, None, 166
100, None, 65
101, None, 195
102, None, 97
103, None, 86
104, None, 71
105, None, 125
106, None, 85
107, None, 82
108, None, 132
109, None, 160
110, None, 72
111, None, 113
112, None, 213
113, None, 143
114, None, 75
115, None, 118
116, None, 188
117, None, 81
118, None, 122
119, None, 148
120, None, 150
121, None, 55
122, None, 66
123, None, 67
124, None, 263
125, None, 34
126, None, 67
127, None, 107
128, None, 225
129, None, 129
130, None, 170
131, None, 100
132, None, 84
133, None, 69
134, None, 87
135, None, 209
136, None, 34
137, None, 147
138, None, 42
139, None, 101
